name,tagline,date,location,promoter,eventId,card_rank,weightclass,weight,num_rounds,type,winner,red_fname,red_lname,red_nickname,red_wins,red_losses,red_draws,red_no_contest,red_ranking,blue_fname,blue_lname,blue_nickname,blue_wins,blue_losses,blue_draws,blue_no_contest,blue_ranking
UFC Fight Night 168,Felder-Hooker,2/22/2020 4:00:00PM,"Spark Arena - Auckland, NZ",UFC,,1,Lightweight,155,5,MMA,,Paul,Felder,,17,4,0,0,,Dan,Hooker,,19,8,0,0,
UFC Fight Night 168,Felder-Hooker,2/22/2020 4:00:00PM,"Spark Arena - Auckland, NZ",UFC,,2,Light Heavyweight,205,3,MMA,,Jimmy,Crute,,10,1,0,0,,Michal,Oleksiejczuk,,14,3,0,1,
UFC Fight Night 168,Felder-Hooker,2/22/2020 4:00:00PM,"Spark Arena - Auckland, NZ",UFC,,3,Strawweight,115,3,MMA,,Karolina,Kowalkiewicz,,12,5,0,0,,Yan,Xiaonan,,11,1,0,1,
UFC Fight Night 168,Felder-Hooker,2/22/2020 4:00:00PM,"Spark Arena - Auckland, NZ",UFC,,4,Heavyweight,265,3,MMA,,Ben,Sosoli,,7,2,0,2,,Marcos,Rogerio de Lima,,16,6,1,0,
UFC Fight Night 168,Felder-Hooker,2/22/2020 4:00:00PM,"Spark Arena - Auckland, NZ",UFC,,5,Lightweight,155,3,MMA,,Brad,Riddell,,7,1,0,0,,Magomed,Mustafaev,,14,2,0,0,
UFC Fight Night 168,Felder-Hooker,2/22/2020 4:00:00PM,"Spark Arena - Auckland, NZ",UFC,,6,Featherweight,145,3,MMA,,Kevin,Aguilar,,17,2,0,0,,Zubaira,Tukhugov,,18,4,1,0,
UFC Fight Night 168,Felder-Hooker,2/22/2020 4:00:00PM,"Spark Arena - Auckland, NZ",UFC,,7,Lightweight,155,3,MMA,,Jalin,Turner,,8,5,0,0,,Joshua,Culibao,,8,0,0,0,
UFC Fight Night 168,Felder-Hooker,2/22/2020 4:00:00PM,"Spark Arena - Auckland, NZ",UFC,,8,Welterweight,170,3,MMA,,Jake,Matthews,,15,4,0,0,,Emil,Meek,,9,4,1,1,
UFC Fight Night 168,Felder-Hooker,2/22/2020 4:00:00PM,"Spark Arena - Auckland, NZ",UFC,,9,Welterweight,170,3,MMA,,Callan,Potter,,18,8,0,0,,Kenan,Song,,15,4,0,0,
UFC Fight Night 168,Felder-Hooker,2/22/2020 4:00:00PM,"Spark Arena - Auckland, NZ",UFC,,10,Flyweight,125,3,MMA,,Kai,Kara-France,,20,8,0,1,,Tyson,Nam,,16,10,1,0,
UFC Fight Night 168,Felder-Hooker,2/22/2020 4:00:00PM,"Spark Arena - Auckland, NZ",UFC,,11,Strawweight,115,3,MMA,,Loma,Lookboonme,,4,1,0,0,,Angela,Hill,,11,7,0,0,
UFC Fight Night 168,Felder-Hooker,2/22/2020 4:00:00PM,"Spark Arena - Auckland, NZ",UFC,,12,Welterweight,170,3,MMA,,Maki,Pitolo,,11,5,0,0,,Takashi,Sato,,15,3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
